Country ; Continent ; Region
Afghanistan ; Asia ; Southern Asia
Albania ; Europe ; Southern Europe
Algeria ; Africa ; Northern Africa
Angola ; Africa ; Middle Africa
Argentina ; Americas ; South America
Armenia ; Asia ; Western Asia
Australia ; Oceania ; Australia and New Zealand
Austria ; Europe ; Western Europe
Azerbaijan ; Asia ; Western Asia
Azores ; Europe ; Southern Europe
Bahamas ; Americas ; Caribbean
Bahrain ; Asia ; Western Asia
Bangladesh ; Asia ; Southern Asia
Barbados ; Americas ; Caribbean
Belarus ; Europe ; Eastern Europe
Belgium ; Europe ; Western Europe
Belize ; Americas ; Central America
Benin, Dahomey ; Africa ; Western Africa
Bhutan ; Asia ; Southern Asia
Bolivia ; Americas ; South America
Bosnia-Herzegovina ; Europe ; Southern Europe
Botswana ; Africa ; Southern Africa
Brazil ; Americas ; South America
Bulgaria ; Europe ; Eastern Europe
Burma (Myanmar) ; Asia ; South-Eastern Asia
Burundi ; Africa ; Eastern Africa
Cambodia ; Asia ; South-Eastern Asia
Canada ; Americas ; Northern America
Canary Islands ; Europe ; Southern Europe
Central African Republic ; Africa ; Middle Africa
Chad ; Africa ; Middle Africa
Chechnya ; Asia ; Western Asia
Chile ; Americas ; South America
China, People's Republic of ; Asia ; Eastern Asia
China, Republic of (Taiwan) ; Asia ; Eastern Asia
Colombia ; Americas ; South America
Congo (Brazzaville) ; Africa ; Middle Africa
Costa Rica ; Americas ; Central America
Cote d'Ivoire ; Africa ; Western Africa
Croatia ; Europe ; Southern Europe
Croatians ; Europe ; Southern Europe
Cuba ; Americas ; Caribbean
Cyprus ; Asia ; Western Asia
Czechoslovakia ; Europe ; Eastern Europe
Czech Republic ; Europe ; Eastern Europe
Democratic Republic of Congo ; Africa ; Middle Africa
Denmark ; Europe ; Northern Europe
Djibouti ; Africa ; Eastern Africa
Dominican Republic ; Americas ; Caribbean
East Timor ; Asia ; South-Eastern Asia
Ecuador ; Americas ; South America
Egypt ; Africa ; Northern Africa
El Salvador ; Americas ; Central America
Eritrea ; Africa ; Eastern Africa
Estonia ; Europe ; Northern Europe
Ethiopia ; Africa ; Eastern Africa
Falkland Islands ; Americas ; South America
Federal Republic of Germany ; Europe ; Western Europe
Fiji ; Oceania ; Melanesia
Finland ; Europe ; Northern Europe
France ; Europe ; Western Europe
French Polynesia ; Oceania ; Polynesia
FRY ; Europe ; Southern Europe
FRY (Kosovo) ; Europe ; Southern Europe
FRY (Montenegro) ; Europe ; Southern Europe
FRY (Serbia) ; Europe ; Southern Europe
FRY (Southern Serbia) ; Europe ; Southern Europe
Gabon ; Africa ; Middle Africa
Georgia ; Asia ; Western Asia
German Democratic Republic ; Europe ; Eastern Europe
Germany ; Europe ; Western Europe
Ghana ; Africa ; Western Africa
Gibraltar ; Europe ; Southern Europe
Greece ; Europe ; Southern Europe
Grenada ; Americas ; Caribbean
Guadeloupe ; Americas ; Caribbean
Guatemala ; Americas ; Central America
Guinea ; Africa ; Western Africa
Guyana ; Americas ; South America
Haiti ; Americas ; Caribbean
Honduras ; Americas ; Central America
Hong Kong ; Asia ; Eastern Asia
Hungary ; Europe ; Eastern Europe
Iceland ; Europe ; Northern Europe
India ; Asia ; Southern Asia
Indonesia ; Asia ; South-Eastern Asia
Iran ; Asia ; Southern Asia
Iraq ; Asia ; Western Asia
Ireland ; Europe ; Northern Europe
Israel ; Asia ; Western Asia
Italy ; Europe ; Southern Europe
Jamaica ; Americas ; Caribbean
Japan ; Asia ; Eastern Asia
Jordan ; Asia ; Western Asia
Kashmir ; Asia ; Southern Asia
Kazakhstan ; Asia ; Central Asia
Kenya ; Africa ; Eastern Africa
Korea, South ; Asia ; Eastern Asia
Kosovo ; Europe ; Southern Europe
Kuwait ; Asia ; Western Asia
Kyrgyzstan ; Asia ; Central Asia
Laos ; Asia ; South-Eastern Asia
Latvia ; Europe ; Northern Europe
Lebanon ; Asia ; Western Asia
Lesotho ; Africa ; Southern Africa
Liberia ; Africa ; Western Africa
Libya ; Africa ; Northern Africa
Lithuania ; Europe ; Northern Europe
Luxembourg ; Europe ; Western Europe
Macao ; Asia ; Eastern Asia
Macedonia ; Europe ; Southern Europe
Madagascar ; Africa ; Eastern Africa
Malaysia ; Asia ; South-Eastern Asia
Maldives ; Asia ; Southern Asia
Mali ; Africa ; Western Africa
Malta ; Europe ; Southern Europe
Martinique ; Americas ; Caribbean
Mauritania ; Africa ; Western Africa
Mexico ; Americas ; Central America
Moldova ; Europe ; Eastern Europe
Mongolia ; Asia ; Eastern Asia
Morocco ; Africa ; Northern Africa
Mozambique ; Africa ; Eastern Africa
Namibia ; Africa ; Southern Africa
Namibia, SWAf ; Africa ; Southern Africa
Nepal ; Asia ; Southern Asia
Netherlands ; Europe ; Western Europe
New Zealand ; Oceania ; Australia and New Zealand
Nicaragua ; Americas ; Central America
Niger ; Africa ; Western Africa
Nigeria ; Africa ; Western Africa
Northern Ireland ; Europe ; Northern Europe
Norway ; Europe ; Northern Europe
Pakistan ; Asia ; Southern Asia
Panama ; Americas ; Central America
Papua-New Guinea ; Oceania ; Melanesia
Paraguay ; Americas ; South America
Peru ; Americas ; South America
Philippines ; Asia ; South-Eastern Asia
Poland ; Europe ; Eastern Europe
Portugal ; Europe ; Southern Europe
Puerto Rico ; Americas ; Caribbean
Qatar ; Asia ; Western Asia
Romania ; Europe ; Eastern Europe
Russia ; Europe ; Eastern Europe
Rwanda ; Africa ; Eastern Africa
Saudi Arabia ; Asia ; Western Asia
Senegal ; Africa ; Western Africa
Serbia ; Europe ; Southern Europe
Serbia-Montenegro ; Europe ; Southern Europe
Sierra Leone ; Africa ; Western Africa
Singapore ; Asia ; South-Eastern Asia
Slovakia ; Europe ; Eastern Europe
Slovenia ; Europe ; Southern Europe
Somalia ; Africa ; Eastern Africa
South Africa ; Africa ; Southern Africa
South Vietnam ; Asia ; South-Eastern Asia
Spain ; Europe ; Southern Europe
Sri Lanka ; Asia ; Southern Asia
Sri Lanka (Ceylon) ; Asia ; Southern Asia
Sudan ; Africa ; Northern Africa
Suriname ; Americas ; South America
Swaziland ; Africa ; Southern Africa
Sweden ; Europe ; Northern Europe
Switzerland ; Europe ; Western Europe
Syria ; Asia ; Western Asia
Taiwan ; Asia ; Eastern Asia
Tajikistan ; Asia ; Central Asia
Tanzania ; Africa ; Eastern Africa
Thailand ; Asia ; South-Eastern Asia
Togo ; Africa ; Western Africa
Transkei ; Africa ; Southern Africa
Trinidad-Tobago ; Americas ; Caribbean
Trucial Oman States ; Asia ; Western Asia
Tunisia ; Africa ; Northern Africa
Turkey ; Asia ; Western Asia
Turkmenistan ; Asia ; Central Asia
Uganda ; Africa ; Eastern Africa
Ukraine ; Europe ; Eastern Europe
United Arab Emirates ; Asia ; Western Asia
United Kingdom ; Europe ; Northern Europe
United States ; Americas ; Northern America
Uruguay ; Americas ; South America
USSR ; Europe ; Eastern Europe
Uzbekistan ; Asia ; Central Asia
Venezuela ; Americas ; South America
Vietnam ; Asia ; South-Eastern Asia
West Bank/Gaza ; Asia ; Western Asia
Western Sahara ; Africa ; Northern Africa
Yemen ; Asia ; Western Asia
Yugoslavia ; Europe ; Southern Europe
Zaire (Belgian Congo) ; Africa ; Middle Africa
Zambia ; Africa ; Eastern Africa
Zimbabwe ; Africa ; Eastern Africa
Zimbabwe (Rhodesia) ; Africa ; Eastern Africa
